Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
N;RO;Pimenta Bueno;F;entre 41 a 50 anos;2025-02-01;;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc );Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada não avaliada;Não Avaliada;
SE;RJ;Belford Roxo;O;mais de 70 anos;2025-02-01;;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor;Telefone;S;N;Finalizada não avaliada;Não Avaliada;
SE;RJ;Arraial do Cabo;F;entre 31 a 40 anos;2025-02-01;;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;N;Finalizada não avaliada;Não Avaliada;
N;PA;Portel;F;entre 21 a 30 anos;2025-02-01;;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Tablet;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;N;Finalizada não avaliada;Não Avaliada;
SE;RJ;Nilópolis;F;mais de 70 anos;2025-02-01;;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;N;Finalizada não avaliada;Não Avaliada;
SE;SP;Itapetininga;M;entre 41 a 50 anos;2025-02-02;;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Microcomputador e laptops;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Internet;S;N;Finalizada não avaliada;Não Avaliada;
SE;RJ;São Gonçalo;F;mais de 70 anos;2025-02-03;;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Vício de Qualidade;Margem consignável - bloqueio/ contestação;Telefone;S;N;Finalizada não avaliada;Não Avaliada;
SE;RJ;Magé;F;entre 41 a 50 anos;2025-02-03;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Nilópolis;M;entre 31 a 40 anos;2025-02-03;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Bloqueio / Suspensão indevida do serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Colatina;F;entre 21 a 30 anos;2025-02-01;9;iFood;Empresas de Intermediação de Serviços / Negócios;Demais Serviços;Serviços de entrega / delivery;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;Imperatriz;F;entre 21 a 30 anos;2025-02-03;10;Pagseguro;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S;RS;São Leopoldo;M;entre 61 a 70 anos;2025-02-03;10;Banco C6 Consignado (Banco Ficsa);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Ibirapitanga;M;entre 21 a 30 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;Morros;F;entre 61 a 70 anos;2025-02-01;8;Bradesco Financiamentos;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Betim;M;entre 51 a 60 anos;2025-02-03;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;Rosário;M;mais de 70 anos;2025-02-01;8;Bradesco Financiamentos;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 41 a 50 anos;2025-02-03;9;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Belford Roxo;M;entre 61 a 70 anos;2025-02-04;10;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Seguro Prestamista;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
N;PA;Marituba;M;entre 61 a 70 anos;2025-02-05;;Caixa Assistência;Empresas de Intermediação de Serviços / Negócios;Demais Serviços;Serviço de suporte, reparo e  manutenção;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;N;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;entre 51 a 60 anos;2025-02-03;10;Banco C6 Consignado (Banco Ficsa);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Internet;N;S;Finalizada não avaliada;Não Avaliada;
NE;SE;Aracaju;F;entre 21 a 30 anos;2025-02-03;9;Banco BTG Pactual;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Campos dos Goytacazes;M;entre 31 a 40 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;S;S;Finalizada não avaliada;Não Avaliada;
N;AM;Manaus;M;entre 31 a 40 anos;2025-02-04;9;iFood;Empresas de Intermediação de Serviços / Negócios;Demais Serviços;Serviços de entrega / delivery;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 21 a 30 anos;2025-02-02;;Uber;Empresas de Intermediação de Serviços / Negócios;Demais Serviços;Aplicativo de mobilidade urbana;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;
